Published,User,Comment
2023-12-12T11:42:20Z,@andyilfchannel4534,"rohim kepala batu.<br>ingat kata orang tua boleh jadi orang baik,tpi jangan terlalu berlebihan,nanti di manfaatkan, yg rugi dirimu <br>nabi saja berpesan , jangan terlalu berlebihan.."
2023-12-09T06:00:22Z,@farisscifi8036,"tolak mreka smua,usir mereka Nanti mreka mnta jatah hak mlik tanah sperti di negara tetangga"
2023-12-07T19:46:43Z,@faizaharto2672,Kenapa tujuan mereka cuma di indonesia dan malaysia coba sekali2 terdampar di brunei darussalam. Mana berani mereka.😂😂😂😂😂😂
2023-12-07T00:01:44Z,@mainanku1836,Ada apa dengan Laut aceh kenapa mudh bangat di susupi orang ?
2023-12-04T23:47:53Z,@Pokokmehong.mroket,TOLAK TEGAS. MOHON TNI DAN POLRI USIR MEREKA PERSUASIF TEGAS
2023-12-04T04:29:30Z,@michellebaby3471,Gila ini banyak bgt … pemaksaan ini penjajahan
2023-12-03T12:41:17Z,@AlipBata-wl1iu,Kenapa sekarang baru menolak
2023-12-02T17:28:18Z,@Riezky_Ak,Coba liat malaysia skrg gmna
2023-11-27T10:08:01Z,@farizvanjava3343,"kita harus membuka mata lihat realita yg ada,,lihat dulu firi kita kluarga kita bangsa kita dan negara kita,bukan yg dilihat yg jauh jauuh ,,ngepoin negara org ,ga ada ujung pangkalnya ga ada manfaatnya bagi bangsa kita negara kita ,apa ada manfaanya tda bagi bangsa dan negara kuta ngepoin negara orang??"
2023-11-27T10:03:13Z,@farizvanjava3343,"bettul bagus warga aceh kl udah sadar tda maabuk agama lagi, menolak pengungsi berarti udah nyelamatkan bangsa dan begara dr rongrongan bangsa lain yg selalu memanfaatkan bangsa kita kebaikan bangsa kita untuk kepentingan politik mereka, kita tda pernah tau apa yg terjadi finegaramorg yg sesungguhnya,kita cuma mlihat dr jauh info dr org2 yg tda bisa dipertanggungjawabkan kebenaranya, kadang mereka info yg bener disembunyikan ,yg dikemukakan adalah hoax,,"
2023-11-27T04:48:17Z,@yonathanampasoi2501,Mereka datang mengungsi ke indonesia kerna mereka lihat di media indonesia paling setia demo bela bela islam di mana aja.....😂😂😂<br>Seharusnya ronghiya itu harus ke pulaw jawa mengungsinya karna banyak pendukung dan simpatisannya...❤❤😂
2023-11-27T04:35:05Z,@ramanugrahajaya,"Ulah kesombongan pemerintah aceh, kontra sama masyarakat yang menolak Rohingya karena merasa bisa membantu Rohingya, sekarang di tiga daerah di aceh terkena musibah banjir yang cukup parah,nah sekarang siapa yang bisa membantu masyarakat aceh, paling nanti minta bantuan ke pemerintah pusat, begitu aja terus sampai kiamat, pemerintah aceh tidak pernah bisa mandiri"
2023-11-26T18:11:20Z,@hanyadeliaputri565,"kita  ja,, dah susah biar mrka ngurus mrka saja urusan nya,, kita NKRI jangan sampek mrk jadi brkuasa nntinya"
2023-11-26T10:43:45Z,@hernihadi7321,Kembalikan warga Rohingya ke negaranya nanti Aceh jadi padat penduduknya kasihan bisa2 mrk akan kuasai aceh
2023-11-26T04:26:21Z,@Duniatipu2879,😂 aceh dilawan jawa saja di ulti apalagi Rohingya
2023-11-25T07:51:23Z,@user-ry1lo5cf8x,Plg kan mereka kita jg susa..lama2 mereka la yg jadi warga ace ..ace jafi rohinia
2023-11-24T22:32:21Z,@konten123.,Astagfirullah. Kita sm sm numpang di bumi allah... cobaan  indonesia. Mau memberi atau menolak.   Segala kebaikan pasti allah akan beri balasan yg setimpal..
2023-11-24T02:07:12Z,@AyongHendra-zh4nc,Sata to so
2023-11-24T02:03:58Z,@AyongHendra-zh4nc,Su su susu satasaya
2023-11-23T16:22:09Z,@layartanpabatas7094,Tolak Rohingya. Mereka kalau diterima mereka akan menghubungi kawan2nya dan akan lebih banyak lagi yg akan datang kesini. Mereka itu bayar utk kesininya bukan terdampar. Mereka kalau sdh banyak mereka akan menguasai dan mengusir warga lokal seperti yang telah terjadi di Palestina
2023-11-23T16:22:04Z,@automotivea7x,"Ko bisa ya nyebrang ke indonesia, apa gak ada penjagaan kemanan di sana??"
2023-11-23T10:30:16Z,@AyongHendra-zh4nc,Su su susu
2023-11-23T10:11:48Z,@AyongHendra-zh4nc,Sasatata
2023-11-23T09:48:24Z,@AyongHendra-zh4nc,Sotoso soot sotoso soot sotoso soot sotoso www
2023-11-23T07:15:36Z,@andrianiandriani831,Jgn di terima .nanti knyak Israel .. watak keras itu
2023-11-23T05:25:43Z,@clevercloud7055,"Kemana tuh sdr seiman yg dulu (6 th lalu) demo dan bela mati2an rohingya, ajaklah sambutlah rohingya nya bawa plg rumah, jgn diusir. Jgn selagi mrk disebrang lautan anda bela, dikala sampai pintu rmh mu diusir. Munafik namanya."
2023-11-23T03:55:34Z,@lombardioleflash5511,Gila..dilemma ya..😢😢😢
2023-11-23T01:57:01Z,@user-wp1cc7ku7w,"Bangsat, Biadab, Laknat Kalian yg koar-koar Palestina Israel Hamas di YouTube2, pulau kami yg dapat imbasnya!!<br><br>Jemput mereka dari tempat kami bawa ketempat kalian...!!!!!"
2023-11-23T01:53:19Z,@user-wp1cc7ku7w,"Ayoo UAS dan kawan-kawan kasihan mereka;  ambil mereka, bawa mereka  ketempatmu<br>cuma ratusan tidak sampai ribu"
2023-11-22T19:39:12Z,@void.00,Ingatlah saudaraku yg ada di aceh.. lihatlah seperti Israel atas tanah palestina.. JANGAN SAMPAI TANAH INDONESIA DIKUASAI ORANG ASING.. SEPERTI ISRAEL MENJAJAH PALESTINA
2023-11-22T19:35:22Z,@soimsuwari6501,"Yg belum pernah kumpul rohingya ni pasti merasa <a href=""http://kasian.tp/"">kasian.tp</a> setelah kumpul. Baru akan tau.mereka ini kalau di kasi ruang. Mereka sangat kurang ajar. Saya lama kumpul mereka2 di malaysia. Laki perempuan.semua sama. Sifatnya sangat buruk."
2023-11-22T17:18:18Z,@El_Colibri,"Waduh, knp ditolak? Mrka adlah teman seakidah umat muslim. Ga kebyang klo warga palestine mengungsi dan ditolak sprti ini. Sungguh tega."
2023-11-22T14:58:28Z,@Dimsum-dp5pz,"Terima dong mereka Muslim juga, spt palestina... kasian, jgn pilih2"
2023-11-22T14:31:23Z,@chivasdj1905,"Tolak Rohingnya diindonesia, dikasihani makin menjadi jadi"
2023-11-22T07:24:59Z,@agoenxsaz725,"Jadi ingat peristiwa black September 1970 warga Yordania menerima pengungsi Palestina,yang akhirnya warganya semakin banyak bhkan sampai disebut negara didalam negera , sampai mncoba 2 kali kudeta raja Yordania.. Naidzubillah mindzalik"
2023-11-22T05:54:40Z,@WahyuDenden-wg5sr,Takutnya nanti malah jadi masah di indonesia nanti mereka meyebar bagaimana nantinnya akan menyaingi warga indobesia sendiri
2023-11-22T04:04:38Z,@shahrol6747,"Lebih baik dihalau.. Kerana mereka ini bangsa yg kurang ajar.. Mereka dibunuh di myammar bukan kerana mereka islam tetapi kerana mereka kurang ajar, asal mereka dari Pakistan dan mungkin mereka sering dihalau kerana mereka adalah bangsa kurang ajar.."
2023-11-22T02:10:14Z,@ifahoryza6739,Sebenarnya sedih juga tp MW gmna lg😢
2023-11-22T01:21:23Z,@yayariswayakuya4175,SEMOGA DI BALAS DENGAN AZAB TSUNAMI KEDUA YANG LEBIH GANAS
2023-11-21T16:59:29Z,@nyanadarmaanderson2582,"Warga Aceh sgt baik dan berhati mulia, dahulu kala inisiatif menarik mereka dari laut ke daratan walaupun belum ada izin negara, demi kemanusiaan dan Saudara SATU IMAN. <br>Semoga berkelanjutan dan pahala besar akan datang dari Tuhan yang maha Esa.<br>Amin…!!!"
2023-11-21T15:57:35Z,@nanangnanang4542,Hati hati saja jangan asal menerima efek kelanjutan harus diperhatikan
2023-11-21T14:51:33Z,@rizkyputriseptihandini6063,"Yang jadi wni aja mau tinggal harus beli tanah dan rumah, eh wna seenaknya mau numpang.. enak aja"
2023-11-21T14:29:52Z,@alizaralizarali2181,"Warga Aceh sudah sangat baik sudah ribuan warga Rohingya di tampung, gak akan sanggup warga Aceh jika selalu ada lagi yg di tampung..bagi warga Rohingya yang gak bisa di tampung lebih baik silahkan cari negara lain"
2023-11-21T08:18:34Z,@armanaku3423,inilah tuhan mmberi ujian pd makluknya. sejauh mana..hati tergugah menghadapi..insan  seagama..yng sngt menyedihkan inii..rl tinggl kan kmpung..menggadai nyawa  hnya ingin  smbung hidup...smg pemerintah  peduli  atas nasib mereka... mg tuhan mmbuka jlan.  bg makluknya yng lg kesusahaan.
2023-11-21T07:06:14Z,@niaramadani4594,Y usir&quot;.... Ajh 🤗👍👍👍👍👍 cakepppp masyarakat aceh pinter banget 👍👍👍👍🤗
2023-11-21T03:41:05Z,@ADF11,Usir Rohing nya..di aceh jangan sampai pribumi di campur.baur dgn mereka BISA rusak.keturunan kita sbg bangsa indonesia.<br>Pertahankan tanah pribumi dari ASING.<br>Jangan mau di bodohi dgn saudara seiman..<br>Harus tegas usir penjajah ROHING NYA.dan siapapun itu di tanah indonesia.
2023-11-21T02:49:33Z,@belarosma4902,"Kasihan, tapi mereka sudah di bantu malah bikin gak enak warga setempat, Ya Allah mudah mudahan mereka dapat tempat yang cocok dengan mereka tuk bisa menjalani kehidupan mereka. Mudah mudahan PBB merhatikan mereka."
2023-11-21T00:16:07Z,@revochanel1542,"Pindah kan aja kepulau yang masih belum ada penghuninya, lalu bantu mereka untuk membangun kehidupan disana"
2023-11-20T17:24:30Z,@sems3037,Exsodus 😂 lama lama ia akan menggeser penduduk asli pribumi wkw
2023-11-20T17:22:03Z,@lasmisohail4905,Berarti Ada ketua nya kalau sampai berulang x sperti jaringan karena tau orang Indonesia itu baik2 sementara mereka Itu tdk baik kalau Di ksh hati minta jantung
2023-11-20T17:18:59Z,@pureenlightmen,Disuruh balik ke laut? Lanjut ke saja cari negara Kristen.... Tapi di semenanjung melayu gak ada negara kristen. 😢
