Published,User,Comment,comment_trans
2023-12-12T11:42:20Z,@andyilfchannel4534,"rohim kepala batu.<br>ingat kata orang tua boleh jadi orang baik,tpi jangan terlalu berlebihan,nanti di manfaatkan, yg rugi dirimu <br>nabi saja berpesan , jangan terlalu berlebihan..","Rohim Head of Batu. Remember the words of parents may be good people, but don't overdo it, later use, those who lose you <br> Prophet just advised, don't overdo it .."
2023-12-09T06:00:22Z,@farisscifi8036,"tolak mreka smua,usir mereka Nanti mreka mnta jatah hak mlik tanah sperti di negara tetangga","Reject all of them, get rid of them later they will be ratid by land rights like in neighboring countries"
2023-12-07T19:46:43Z,@faizaharto2672,Kenapa tujuan mereka cuma di indonesia dan malaysia coba sekali2 terdampar di brunei darussalam. Mana berani mereka.😂😂😂😂😂😂,Why is their purpose only in Indonesia and Malaysia try once stranded in Brunei Darussalam. How dare they are
2023-12-07T00:01:44Z,@mainanku1836,Ada apa dengan Laut aceh kenapa mudh bangat di susupi orang ?,"What's wrong with the Aceh Sea, why is Mudh so much in Susupi?"
2023-12-04T23:47:53Z,@Pokokmehong.mroket,TOLAK TEGAS. MOHON TNI DAN POLRI USIR MEREKA PERSUASIF TEGAS,Reject firmly. Ask the TNI and Polri to expel them persuasively firmly
2023-12-04T04:29:30Z,@michellebaby3471,Gila ini banyak bgt … pemaksaan ini penjajahan,This crazy is very much ... this coercion is colonialism
2023-12-03T12:41:17Z,@AlipBata-wl1iu,Kenapa sekarang baru menolak,Why now reject
2023-12-02T17:28:18Z,@Riezky_Ak,Coba liat malaysia skrg gmna,Try to see Malaysia now
2023-11-27T10:08:01Z,@farizvanjava3343,"kita harus membuka mata lihat realita yg ada,,lihat dulu firi kita kluarga kita bangsa kita dan negara kita,bukan yg dilihat yg jauh jauuh ,,ngepoin negara org ,ga ada ujung pangkalnya ga ada manfaatnya bagi bangsa kita negara kita ,apa ada manfaanya tda bagi bangsa dan negara kuta ngepoin negara orang??","we have to open our eyes to see the reality that exists ,, look at our firi our nation and our country first, not what is seen far away ,, ngepoin the country, there is no end of the base, there is no benefit for our nation our country, is there any man. TDA for the nation and country of Kuta ngeepoin the country of people ??"
2023-11-27T10:03:13Z,@farizvanjava3343,"bettul bagus warga aceh kl udah sadar tda maabuk agama lagi, menolak pengungsi berarti udah nyelamatkan bangsa dan begara dr rongrongan bangsa lain yg selalu memanfaatkan bangsa kita kebaikan bangsa kita untuk kepentingan politik mereka, kita tda pernah tau apa yg terjadi finegaramorg yg sesungguhnya,kita cuma mlihat dr jauh info dr org2 yg tda bisa dipertanggungjawabkan kebenaranya, kadang mereka info yg bener disembunyikan ,yg dikemukakan adalah hoax,,","Bettul is good for Acehnese who are already aware that they are unconscious of religion again, rejecting refugees means that they have saved the nation and so from the undermining of other nations who always use our nation the goodness of our nation for their political interest see from far from the info from the people who can be accounted for, sometimes they are really hidden info, what is put forward is hoax"
2023-11-27T04:48:17Z,@yonathanampasoi2501,Mereka datang mengungsi ke indonesia kerna mereka lihat di media indonesia paling setia demo bela bela islam di mana aja.....😂😂😂<br>Seharusnya ronghiya itu harus ke pulaw jawa mengungsinya karna banyak pendukung dan simpatisannya...❤❤😂,They came to evacuate to Indonesia because they saw in the Indonesian media the most loyal demonstration of Bela Islam everywhere ..... 😂😂😂 <br> Ronghiya should have to go to Pulaw Java because many supporters and sympathizers ... ❤❤😂
2023-11-27T04:35:05Z,@ramanugrahajaya,"Ulah kesombongan pemerintah aceh, kontra sama masyarakat yang menolak Rohingya karena merasa bisa membantu Rohingya, sekarang di tiga daerah di aceh terkena musibah banjir yang cukup parah,nah sekarang siapa yang bisa membantu masyarakat aceh, paling nanti minta bantuan ke pemerintah pusat, begitu aja terus sampai kiamat, pemerintah aceh tidak pernah bisa mandiri","The arrogance of the Aceh Government's arrogance, cons with the people who rejected Rohingya because they felt they could help Rohingya, now in the three regions in Aceh affected by the flood that is quite severe, now who can help the people of Aceh, at most later ask for help from the central government, so it continues Until the apocalypse, the Government of Aceh can never be independent"
2023-11-26T18:11:20Z,@hanyadeliaputri565,"kita  ja,, dah susah biar mrka ngurus mrka saja urusan nya,, kita NKRI jangan sampek mrk jadi brkuasa nntinya","we are difficult, so it's hard to take care of their business, we don't reach them so they will"
2023-11-26T10:43:45Z,@hernihadi7321,Kembalikan warga Rohingya ke negaranya nanti Aceh jadi padat penduduknya kasihan bisa2 mrk akan kuasai aceh,Return the Rohingya residents to his country later Aceh will be densely populated.
2023-11-26T04:26:21Z,@Duniatipu2879,😂 aceh dilawan jawa saja di ulti apalagi Rohingya,😂 Aceh is opposed to Javanese in the ulti let alone the Rohingya
2023-11-25T07:51:23Z,@user-ry1lo5cf8x,Plg kan mereka kita jg susa..lama2 mereka la yg jadi warga ace ..ace jafi rohinia,"Plg, we are also we sewing ... their long lives are the people of Ace ... Ace Jafi Rohinia"
2023-11-24T22:32:21Z,@konten123.,Astagfirullah. Kita sm sm numpang di bumi allah... cobaan  indonesia. Mau memberi atau menolak.   Segala kebaikan pasti allah akan beri balasan yg setimpal..,Astagfirullah. We are smacing in the earth of God ... Indonesian trials. Want to give or refuse. All kindness must Allah give a reward that is worth it ..
2023-11-24T02:07:12Z,@AyongHendra-zh4nc,Sata to so,SATA TO SO
2023-11-24T02:03:58Z,@AyongHendra-zh4nc,Su su susu satasaya,Su su milk saatasaya
