,Published,User,Comment,comment_trans,Positive,Negative,Neutral,Compound,comment_clean,klasifikasi,klasifikasi_bayes
0,2023-12-12T11:42:20Z,@andyilfchannel4534,"rohim kepala batu.<br>ingat kata orang tua boleh jadi orang baik,tpi jangan terlalu berlebihan,nanti di manfaatkan, yg rugi dirimu <br>nabi saja berpesan , jangan terlalu berlebihan..",Rohim Head of Batu Remember the words of parents may be good people but dont overdo it later use those who lose you br Prophet just advised dont overdo it ,0.057,0.103,0.841,-0.3818,rohim head of batu remember the words of parents may be good people but dont overdo it later use those who lose you br prophet just advised dont overdo it,Positif,Negatif
1,2023-12-09T06:00:22Z,@farisscifi8036,"tolak mreka smua,usir mereka Nanti mreka mnta jatah hak mlik tanah sperti di negara tetangga",Reject all of them get rid of them later they will be ratid by land rights like in neighboring countries,0.108,0.116,0.776,-0.0516,reject all of them get rid of them later they will be ratid by land rights like in neighboring countri,Netral,Netral
2,2023-12-07T19:46:43Z,@faizaharto2672,Kenapa tujuan mereka cuma di indonesia dan malaysia coba sekali2 terdampar di brunei darussalam. Mana berani mereka.ðððððð,Why is their purpose only in Indonesia and Malaysia try once stranded in Brunei Darussalam How dare they are,0.0,0.0,1.0,0.0,why is their purpose only in indonesia and malaysia try once stranded in brunei darussalam how dare they ar,Netral,Netral
3,2023-12-07T00:01:44Z,@mainanku1836,Ada apa dengan Laut aceh kenapa mudh bangat di susupi orang ?,Whats wrong with the Aceh Sea why is Mudh so much in Susupi,0.0,0.205,0.795,-0.4767,whats wrong with the aceh sea why is mudh so much in susupi,Negatif,Netral
4,2023-12-04T23:47:53Z,@Pokokmehong.mroket,TOLAK TEGAS. MOHON TNI DAN POLRI USIR MEREKA PERSUASIF TEGAS,Reject firmly Ask the TNI and Polri to expel them persuasively firmly,0.0,0.359,0.641,-0.6808,reject firmly ask the tni and polri to expel them persuasively firmli,Negatif,Netral
5,2023-12-04T04:29:30Z,@michellebaby3471,Gila ini banyak bgt â¦ pemaksaan ini penjajahan,This crazy is very much  this coercion is colonialism,0.0,0.211,0.789,-0.34,this crazy is very much this coercion is coloni,Negatif,Netral
6,2023-12-03T12:41:17Z,@AlipBata-wl1iu,Kenapa sekarang baru menolak,Why now reject,0.0,0.574,0.426,-0.4019,why now reject,Netral,Netral
7,2023-12-02T17:28:18Z,@Riezky_Ak,Coba liat malaysia skrg gmna,Try to see Malaysia now,0.0,0.0,1.0,0.0,try to see malaysia now,Netral,Netral
8,2023-11-27T10:08:01Z,@farizvanjava3343,"kita harus membuka mata lihat realita yg ada,,lihat dulu firi kita kluarga kita bangsa kita dan negara kita,bukan yg dilihat yg jauh jauuh ,,ngepoin negara org ,ga ada ujung pangkalnya ga ada manfaatnya bagi bangsa kita negara kita ,apa ada manfaanya tda bagi bangsa dan negara kuta ngepoin negara orang??",we have to open our eyes to see the reality that exists  look at our firi our nation and our country first not what is seen far away  ngepoin the country there is no end of the base there is no benefit for our nation our country is there any man TDA for the nation and country of Kuta ngeepoin the country of people ,0.042,0.066,0.892,-0.1926,we have to open our eyes to see the reality that exists look at our firi our nation and our country first not what is seen far away ngepoin the country there is no end of the base there is no benefit for our nation our country is there any man tda for the nation and country of kuta ngeepoin the country of peopl,Negatif,Negatif
9,2023-11-27T10:03:13Z,@farizvanjava3343,"bettul bagus warga aceh kl udah sadar tda maabuk agama lagi, menolak pengungsi berarti udah nyelamatkan bangsa dan begara dr rongrongan bangsa lain yg selalu memanfaatkan bangsa kita kebaikan bangsa kita untuk kepentingan politik mereka, kita tda pernah tau apa yg terjadi finegaramorg yg sesungguhnya,kita cuma mlihat dr jauh info dr org2 yg tda bisa dipertanggungjawabkan kebenaranya, kadang mereka info yg bener disembunyikan ,yg dikemukakan adalah hoax,,",Bettul is good for Acehnese who are already aware that they are unconscious of religion again rejecting refugees means that they have saved the nation and so from the undermining of other nations who always use our nation the goodness of our nation for their political interest see from far from the info from the people who can be accounted for sometimes they are really hidden info what is put forward is hoax,0.137,0.092,0.771,0.5908,bettul is good for acehnese who are already aware that they are unconscious of religion again rejecting refugees means that they have saved the nation and so from the undermining of other nations who always use our nation the goodness of our nation for their political interest see from far from the info from the people who can be accounted for sometimes they are really hidden info what is put forward is hoax,Positif,Positif
